"filename", "language", "Shell Script", "JavaScript", "comment", "blank", "total"
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Mushrooms200\Mushrooms200.js", "JavaScript", 0, 11, 0, 1, 12
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Mushrooms200\test-cases\ex1.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Mushrooms200\test-cases\ex3.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Mushrooms200\test-cases\surface-odor-facet.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Mushrooms\Mushrooms.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Mushrooms\test-cases\ex0.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Mushrooms\test-cases\ex1.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Mushrooms\test-cases\ex2.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\NYTBestSellers\NYTBestSellers.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\NYTBestSellers\test-cases\ex0.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\NYTBestSellers\test-cases\ex1Favorites.js", "JavaScript", 0, 1, 0, 0, 1
