"filename", "language", "JavaScript", "Stylus", "Shell Script", "Less", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\outer-layout\asset-bundles\stream-outer-assets.js", "JavaScript", 41, 0, 0, 0, 0, 0, 34, 15, 90
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\outer-layout\outer-asset-commons-filled.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\outer-layout\outer-asset-commons.js", "JavaScript", 31, 0, 0, 0, 0, 0, 1, 10, 42
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\outer-layout\outer-asset-dynamic-channels-bundle.js", "JavaScript", 120, 0, 0, 0, 0, 0, 40, 33, 193
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\outer-layout\outer-layout-bundle.js", "JavaScript", 11, 0, 0, 0, 0, 0, 48, 4, 63
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\root\local-vp-bundle.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\root\root-bundle.js", "JavaScript", 18, 0, 0, 0, 0, 0, 4, 3, 25
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\selection-specific\inner-container\inner-container-base-bundle.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\selection-specific\local-root\local-root-cartesian-bundle.js", "JavaScript", 69, 0, 0, 0, 0, 0, 2, 16, 87
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\selection-specific\local-root\local-root-circular-angular-bundle.js", "JavaScript", 71, 0, 0, 0, 0, 0, 1, 13, 85
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\selection-specific\local-root\local-root-circular-radial-bundle.js", "JavaScript", 72, 0, 0, 0, 0, 0, 4, 13, 89
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\selection-specific\mark-root\mark-root-transform-bundle.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\selection-specific\mark-root\plot-cartesian-positioning-bundle.js", "JavaScript", 115, 0, 0, 0, 0, 0, 33, 28, 176
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\selection-specific\mark-root\plot-circular-positioning-bundle.js", "JavaScript", 93, 0, 0, 0, 0, 0, 2, 20, 115
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\selection-specific\vis-container\vis-container-base-bundle.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\selection-specific\vis-container\vis-container-inherit-space-bundle.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\selection-specific\vis-container\vis-container-transform-bundle.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 11, 42
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\shared\style\clip-bundle.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\shared\style\drop-shadow-bundle.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\shared\style\fill-bundle.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\shared\style\inner-drop-shadow-bundle.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\shared\style\nofill-bundle.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\shared\style\stroke-bundle.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\shared\text\labels-bundle.js", "JavaScript", 93, 0, 0, 0, 0, 0, 22, 25, 140
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\shared\text\labels-positioning-arc-bundle.js", "JavaScript", 19, 0, 0, 0, 0, 0, 8, 6, 33
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\shared\text\labels-positioning-area-bundle.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\shared\text\labels-positioning-bars-bundle.js", "JavaScript", 20, 0, 0, 0, 0, 0, 8, 4, 32
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\bundle-generators\shared\text\labels-positioning-plot-bundle.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\channel-bundles-index.js", "JavaScript", 267, 0, 0, 0, 0, 0, 39, 88, 394
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\BUNDLES\channel-bundles.js", "JavaScript", 46, 0, 0, 0, 0, 0, 4, 18, 68
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\channel.js", "JavaScript", 191, 0, 0, 0, 0, 0, 17, 84, 292
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\color-schemes.js", "JavaScript", 172, 0, 0, 0, 0, 0, 45, 34, 251
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\mixins\access-data.js", "JavaScript", 352, 0, 0, 0, 0, 0, 139, 155, 646
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\mixins\channel-base.js", "JavaScript", 214, 0, 0, 0, 0, 0, 49, 88, 351
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\mixins\mappable.js", "JavaScript", 877, 0, 0, 0, 0, 0, 203, 316, 1396
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\mixins\mapping-properties.js", "JavaScript", 778, 0, 0, 0, 0, 0, 121, 175, 1074
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\mixins\read-channel-getters.js", "JavaScript", 134, 0, 0, 0, 0, 0, 56, 58, 248
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\mixins\readable-ping-callbacks-spec.js", "JavaScript", 49, 0, 0, 0, 0, 0, 14, 17, 80
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\mixins\readable-ping-callbacks.js", "JavaScript", 71, 0, 0, 0, 0, 0, 1, 21, 93
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\mixins\readable-ping.js", "JavaScript", 103, 0, 0, 0, 0, 0, 41, 35, 179
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\mixins\readable.js", "JavaScript", 382, 0, 0, 0, 0, 0, 182, 172, 736
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-axis-bar-breadth-information-prototype.js", "JavaScript", 51, 0, 0, 0, 0, 0, 18, 25, 94
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-axis-bar-length-information-prototype.js", "JavaScript", 37, 0, 0, 0, 0, 0, 27, 27, 91
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-axis-guide-information-fixed-x-channel.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 7, 21
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-axis-plot-axis-information-prototype.js", "JavaScript", 37, 0, 0, 0, 0, 0, 14, 18, 69
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-axis-x-information-columns-positioned.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-axis-x-information-columns.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 10, 41
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-axis-x-information-line.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 7, 23
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-axis-x-information-plot.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-axis-x-information-rows.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-axis-x-information-stream.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 11, 33
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-axis-y-information-columns.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-axis-y-information-line.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 7, 23
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-axis-y-information-plot.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 7, 23
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-axis-y-information-rows-positioned.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 9, 32
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-axis-y-information-rows.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 11, 43
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-boolean.js", "JavaScript", 66, 0, 0, 0, 0, 0, 2, 26, 94
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-bounds-text.js", "JavaScript", 72, 0, 0, 0, 0, 0, 29, 21, 122
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-bounds.js", "JavaScript", 64, 0, 0, 0, 0, 0, 14, 19, 97
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-clip-labels.js", "JavaScript", 20, 0, 0, 0, 0, 0, 12, 12, 44
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-clip.js", "JavaScript", 29, 0, 0, 0, 0, 0, 3, 12, 44
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-color-value.js", "JavaScript", 32, 0, 0, 0, 0, 0, 4, 14, 50
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-color.js", "JavaScript", 315, 0, 0, 0, 0, 0, 41, 110, 466
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-coordinate-x.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-coordinate-y-inverted.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-coordinate-y.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-coordinate.js", "JavaScript", 113, 0, 0, 0, 0, 0, 5, 42, 160
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-core-aspect-ratio.js", "JavaScript", 0, 0, 0, 0, 0, 0, 20, 11, 31
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-core-container-offset-channel-prototype.js", "JavaScript", 29, 0, 0, 0, 0, 0, 2, 10, 41
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-core-data.js", "JavaScript", 38, 0, 0, 0, 0, 0, 11, 19, 68
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-core-inner-bounding-box.js", "JavaScript", 71, 0, 0, 0, 0, 0, 5, 27, 103
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-core-inner-container-x.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-core-inner-container-y.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-core-inner-layout-manager.js", "JavaScript", 173, 0, 0, 0, 0, 0, 40, 85, 298
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-core-local-viewport.js", "JavaScript", 95, 0, 0, 0, 0, 0, 14, 32, 141
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-core-mark.js", "JavaScript", 18, 0, 0, 0, 0, 0, 1, 6, 25
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-core-output-shape.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 28, 89
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-core-root-svg.js", "JavaScript", 11, 0, 0, 0, 0, 0, 3, 5, 19
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-core-root-viewport.js", "JavaScript", 18, 0, 0, 0, 0, 0, 2, 7, 27
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-core-space-transform.js", "JavaScript", 104, 0, 0, 0, 0, 0, 19, 43, 166
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\client\src\core\visualization\language\channels\channel-classes\specific\channel-core-space.js", "JavaScript", 96, 0, 0, 0, 0, 0, 31, 42, 169
